"PermitNum","StatusCurrent","AppliedDate","IssuedDate","CompletedDate","PermitType","PermitTypeMapped","PermitClass","PermitClassGroup","PermitClassMapped","WorkClass","WorkClassGroup","WorkClassMapped","Description","ApplicantName","ContractorName","HousingUnits","EstProjectCost","TotalSqFt","OriginalAddress","CommunityCode","CommunityName","Latitude","Longitude","LocationCount","LocationTypes","LocationAddresses","LocationsWKT","LocationsGeoJSON","Point"
"BP2017-03398","Completed","2017/04/06","2017/09/14","2019/08/01","Commercial / Multi Family Project","Building","3402 - Office","Commercial","Non-Residential","New","New","New","New 2 storey mixed use building","ABANOUB DEVELOPMENT",,"0","$2,000,000",,"178 96 AV NE","HAR","HARVEST HILLS","51.14184739019","-114.06635646766","1","Titled Parcel","178 96 AV NE","POINT (-114.06635646766222 51.14184739018853)","{""type"":""Point"",""coordinates"":[-114.0663565,51.1418474]}","POINT (-114.06635646766222 51.14184739018853)"
"BP2024-19429","Completed","2024/09/12","2024/09/13","2024/12/12","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage","ELEGANT CONSTRUCTION","ELEGANT CONSTRUCTION","0","$42,434",,"72 HARVEST GOLD CI NE","HAR","HARVEST HILLS","51.14467266907","-114.06405567258","2","Titled Parcel;Building","72 HARVEST GOLD CI NE;72 HARVEST GOLD CI NE","MULTIPOINT (-114.0640556725764 51.14467266907331,-114.06402766506928 51.14475794158096)","{""type"":""MultiPoint"",""coordinates"":[[-114.0640557,51.1446727],[-114.0640277,51.1447579]]}","POINT (-114.0640556725764 51.14467266907331)"
"BP2024-16967","Completed","2024/08/14","2024/10/01","2025/03/10","Residential Improvement Project","Building","1101 - Improvements (Single Family)","Single Family","Residential","Alteration","Improvement","Existing","Improvements",,,"0","$10,000",,"108 HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.15134514332","-114.05338566341","2","Titled Parcel;Building","108 HARVEST HILLS DR NE;108 HARVEST HILLS DR NE","MULTIPOINT (-114.05338566341466 51.151345143322345,-114.05336969379692 51.15145335805087)","{""type"":""MultiPoint"",""coordinates"":[[-114.0533857,51.1513451],[-114.0533697,51.1514534]]}","POINT (-114.05338566341466 51.151345143322345)"
"BP2024-16959","Completed","2024/08/14","2024/08/28","2024/11/13","Residential Improvement Project","Building","9999 - Unspecified","Unspecified","Residential","Alteration","Improvement","Existing","Secondary Suite",,,"1",,,"106R HARVEST CREEK CL NE","HAR","HARVEST HILLS","51.14647422281","-114.04363480141","3","Titled Parcel;Building;Building Suite","106 HARVEST CREEK CL NE;106 HARVEST CREEK CL NE;106R HARVEST CREEK CL NE","MULTIPOINT (-114.04363480141492 51.14647422280703,-114.04344833561468 51.14643000956503,-114.04332753377135 51.146392711673975)","{""type"":""MultiPoint"",""coordinates"":[[-114.0436348,51.1464742],[-114.0434483,51.14643],[-114.0433275,51.1463927]]}","POINT (-114.04363480141492 51.14647422280703)"
"BP2023-22141","Completed","2023/12/30","2024/01/18","2024/10/09","Residential Improvement Project","Building","9999 - Unspecified","Unspecified","Residential","Alteration","Improvement","Existing","Secondary Suite",,,"1",,,"37R HARVEST GLEN LI NE","HAR","HARVEST HILLS","51.14551029545","-114.0488041434","3","Titled Parcel;Building;Building Suite","37 HARVEST GLEN LI NE;37 HARVEST GLEN LI NE;37R HARVEST GLEN LI NE","MULTIPOINT (-114.04880414339858 51.14551029544503,-114.04893069053222 51.14561321819029,-114.04899710594397 51.14568252700133)","{""type"":""MultiPoint"",""coordinates"":[[-114.0488041,51.1455103],[-114.0489307,51.1456132],[-114.0489971,51.1456825]]}","POINT (-114.04880414339858 51.14551029544503)"
"BP2023-12038","Completed","2023/07/26","2023/10/05","2024/04/09","Residential Improvement Project","Building","1106 - Addition","Single Family","Residential","Addition","Improvement","Existing","Addition",,"TATARYN ENTERPRISES","0","$44,492",,"77 HARVEST GLEN WY NE","HAR","HARVEST HILLS","51.14282499412","-114.04984144133","2","Titled Parcel;Building","77 HARVEST GLEN WY NE;77 HARVEST GLEN WY NE","MULTIPOINT (-114.04984144133105 51.142824994121035,-114.04979345146968 51.14271756208476)","{""type"":""MultiPoint"",""coordinates"":[[-114.0498414,51.142825],[-114.0497935,51.1427176]]}","POINT (-114.04984144133105 51.142824994121035)"
"BP2022-06554","Completed","2022/04/24","2022/05/17","2024/03/07","Residential Improvement Project","Building","1106 - Addition","Single Family","Residential","Addition","Improvement","Existing","Addition","SEVEN DAY PERMITS","SUNCOAST SCREEN ENCLOSURES","0","$27,020",,"333 HARVEST HILLS WY NE","HAR","HARVEST HILLS","51.15291113779","-114.04259862882","2","Titled Parcel;Building","333 HARVEST HILLS WY NE;333 HARVEST HILLS WY NE","MULTIPOINT (-114.04259862882134 51.152911137786596,-114.04270644689558 51.152909884881886)","{""type"":""MultiPoint"",""coordinates"":[[-114.0425986,51.1529111],[-114.0427064,51.1529099]]}","POINT (-114.04259862882134 51.152911137786596)"
"BP2022-11568","Completed","2022/07/03","2023/11/07","2024/09/10","Residential Improvement Project","Building","1106 - Addition","Single Family","Residential","Addition","Improvement","Existing","Addition, Deck","FRESH START PROJECTS",,"0","$57,661",,"481 HARVEST LAKE DR NE","HAR","HARVEST HILLS","51.14688518778","-114.05252054917","2","Titled Parcel;Building","481 HARVEST LAKE DR NE;481 HARVEST LAKE DR NE","MULTIPOINT (-114.05252054916602 51.14688518778046,-114.05251234590766 51.14677218350388)","{""type"":""MultiPoint"",""coordinates"":[[-114.0525205,51.1468852],[-114.0525123,51.1467722]]}","POINT (-114.05252054916602 51.14688518778046)"
"BP2024-06172","Completed","2024/04/08","2024/04/23","2024/10/30","Residential Improvement Project","Building","1101 - Improvements (Single Family)","Single Family","Residential","Alteration","Improvement","Existing","Improvements",,,"0","$7,200",,"182 HARVEST PARK CI NE","HAR","HARVEST HILLS","51.14596793235","-114.05592287201","2","Titled Parcel;Building","182 HARVEST PARK CI NE;182 HARVEST PARK CI NE","MULTIPOINT (-114.0559228720058 51.145967932351944,-114.05592655491074 51.14607074438709)","{""type"":""MultiPoint"",""coordinates"":[[-114.0559229,51.1459679],[-114.0559266,51.1460707]]}","POINT (-114.0559228720058 51.145967932351944)"
"BP2023-19955","Completed","2023/11/20","2024/01/11","2024/03/08","Residential Improvement Project","Building","1110 - Below Grade Suite","Secondary Suites","Residential","Alteration","Improvement","Existing","Secondary Suite",,,"1","$55,542",,"870R HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.1433898412","-114.05462216217","3","Titled Parcel;Building;Building Suite","870 HARVEST HILLS DR NE;870 HARVEST HILLS DR NE;870R HARVEST HILLS DR NE","MULTIPOINT (-114.0546221621714 51.1433898411963,-114.05459764760691 51.14328827037147,-114.05455981868643 51.14322705099343)","{""type"":""MultiPoint"",""coordinates"":[[-114.0546222,51.1433898],[-114.0545976,51.1432883],[-114.0545598,51.1432271]]}","POINT (-114.0546221621714 51.1433898411963)"
