type,address,title,first_seen,decided,council_appearances,days_first_to_last,outcome,resolutions
DVP,77 Anderson Street,Development Variance Permit Application – 77 Anderson,2019-04-15,2019-04-15,1,0,Referred (no final vote seen),R19-125
DVP,,"Jordan Pacheco, 77 Anderson – spoke for his application for a Development Variance Permit.",2019-05-06,2019-05-06,1,0,Carried,R19-132
DVP,71 Swallow Street,“THAT the application for a development variance permit at 71 Swallow Street is,2019-05-06,2019-05-21,2,15,Carried,R19-145 R19-170
DVP,179 Chinook Avenue,“THAT the development variance permit application to reduce rear year setback,2019-05-21,2019-05-21,1,0,Referred (no final vote seen),R19-171
DP,,“THAT Downtown Revitalization Area Development Permit No. 06-2019 be,2019-05-21,2019-05-21,1,0,Carried,06-2019
DVP,176 Ocelot Way,“THAT development variance permit application to vary distance between,2019-06-17,2019-06-17,1,0,Referred (no final vote seen),R19-189
DP,728 Kuldo Boulevard,Mayor Germuth asked for comments on a Development Permit application – 724 and 728 Kuldo,2019-07-02,2019-07-02,1,0,Carried,R19-193
TUP,160 Konigus Street,“THAT the temporary use permit application to permit a park and ride facility at,2019-07-15,2019-07-15,1,0,Referred (no final vote seen),R19-216
TUP,,“THAT the Temporary Use Permit application submitted 28 February 2019 for an,2019-08-19,2019-08-19,1,0,Carried,R19-239
DP,,Development Permit Application - Wakita Ave and Nalabila Blvd,2019-09-03,2019-09-03,1,0,Referred (no final vote seen),R19-248
DP,,“THAT the development permit application for a multi-family development at,2019-09-03,2019-09-03,1,0,Referred (no final vote seen),R19-248
TUP,606 Mountainview Square,First Two Readings – Temporary Use Permit Zoning and OCP Amendment Bylaw No.,2019-09-16,2019-09-16,1,0,Referred (no final vote seen),
TUP,,“THAT the temporary use permit application to consider an RV park on a portion,2019-09-16,2019-10-21,2,35,unknown,
TUP,,Bylaw No. 1956 – Temporary Use Permit Zoning and Official Community Plan,2019-10-21,2019-10-21,1,0,unknown,
DP,,Development Permit Application – Wakita Ave and Nalabila Blvd.,2019-10-21,2019-10-21,1,0,Carried,R19-289
DVP,78 Sturgeon Street,Development Variance Permit Application – 78 Sturgeon Street,2020-03-16,2020-05-04,2,49,Carried,R20-071 R20-095
