date,type,bylaw_no,address,title,decision,resolution,readings_seen
2019-04-15,DVP,,77 Anderson Street,3. Development Variance Permit Application – 77 Anderson,Referred,R19-125,
2019-05-06,DVP,,,"Jordan Pacheco, 77 Anderson – spoke for his application for a Development Variance Permit.",Carried,R19-132,
2019-05-06,DVP,,71 Swallow Street,“THAT the application for a development variance permit at 71 Swallow Street is,Referred,R19-145,
2019-05-21,DVP,,179 Chinook Avenue,“THAT the development variance permit application to reduce rear year setback,Referred,R19-171,
2019-06-17,DVP,,176 Ocelot Way,“THAT development variance permit application to vary distance between,Referred,R19-189,
2019-07-02,DP,,"728 Kuldo
Boulevard",Mayor Germuth asked for comments on a Development Permit application – 724 and 728 Kuldo,Carried,R19-193,
2019-07-15,TUP,,160 Konigus Street,“THAT the temporary use permit application to permit a park and ride facility at,Referred,R19-216,
2019-09-03,DP,,,1. Development Permit Application - Wakita Ave and Nalabila Blvd,Referred,R19-248,
2019-09-16,TUP,,606 Mountainview Square,2. First Two Readings – Temporary Use Permit Zoning and OCP Amendment Bylaw No.,Referred,,
2019-10-21,TUP,,,2. Bylaw No. 1956 – Temporary Use Permit Zoning and Official Community Plan,,,
2019-10-21,DP,,,2. Development Permit Application – Wakita Ave and Nalabila Blvd.,Carried,R19-289,
2020-03-16,DVP,,78 Sturgeon Street,1. Development Variance Permit Application – 78 Sturgeon Street,Carried,R20-071,
2020-03-16,DVP,,"78 Sturgeon
              Street",“THAT a development variance permit application to reduce side yard from 4.5,Carried,R20-071,
2020-04-20,DVP,,71 Starling Street,2. Development Variance Permit Application - 71 Starling Street,Referred,R20-091,
2020-04-20,DVP,,"71 Starling
              Street",“THAT a development variance permit application to construct an addition to the,Referred,R20-091,
2020-05-04,DVP,,"71
Starling Street",Rob Slanina provided comment regarding his application for a development variance permit at 71,Carried,R20-095,
2020-05-04,DP,,78 Sturgeon Street,"2. Multi-Family Development Permit Guidelines, FireSmart Amendment Bylaw No. 1967,",Postponed,,
2020-07-20,DVP,,205 Enterprise Avenue,1. Development Variance Permit Application – 205 Enterprise Avenue,Referred,R20-150,
2020-08-04,DVP,,9 Oersted Street,August 2020 regarding development variance permit application for 9 Oersted Street were read,Carried,R20-157,
2020-09-08,DVP,,72 Bittern Street,THAT development variance permit application to allow 72 Bittern Street to,Referred,R20-195,
2020-09-08,TUP,,205 Enterprise Avenue,1. Temporary Use Permit Application – JHW Quarry,Referred,R20-196,
2020-09-08,DVP,,"205 Enterprise
              Avenue",“THAT the development variance permit application to allow CDN Controls Ltd. to,Defeated,R20-197,
2020-09-08,DVP,,"205 Enterprise
                Avenue",AND THAT the development variance permit application to allow CDN Controls,Defeated,R20-197,
2020-10-05,TUP,,,2. Temporary Use Permit Application – JHW Quarry,Carried,R20-209,
2020-10-19,TUP,,"650 Kuldo
   Blvd","""THAT a temporary use permit application to permit operation of a portable mill at PID",Referred,R20-222,
2020-11-02,DVP,,52 Stickney Street,1. Development Variance Permit Application – 52 Stickney Street - Shop,Referred,R20-229,
2020-11-02,DVP,,59 Stickney Street,2. Development Variance Permit Application – 59 Stickney Street,Carried,R20-230,
2020-11-02,DVP,,167 Konigus Street,3. Development Variance Permit Application – JGC Fluor Water Intake,Referred,R20-231,
2020-11-16,TUP,,116 Whittlesey Street,“THAT the application to amend temporary use permit for a parking lot for the,Tabled,R20-238,
2020-11-16,DVP,,116 Whittlesey Street,2. Development Variance Permit Application – 116 Whittlesey Street,Referred,R20-239,
2020-12-07,DVP,,,4. Development Variance Permit Application JGC Fluor Water Intake,Carried,R20-251,
2020-12-21,DVP,,,Mayor Germuth asked for comments regarding the Development Variance Permit Application for,Carried,R20-257,
2020-12-21,DP,,461 Quatsino Boulevard,2. Development Permit Application – 461 Quatsino Boulevard,Referred,R20-261,
2020-12-21,DP,,167 Konigus Street,"3. Development Permit Application, Riverbrook Estates",Referred,R20-262,
2020-12-21,DP,,,Development Permit Application – Riverbrook Estates,Carried,R20-263,
2021-04-06,DVP,,"20
Swallow Street",The Mayor called for Public Input regarding the Development Variance Permit Application at 20,Carried,R21-073,
2021-04-06,DVP,,20 Swallow Street,1. Development Variance Permit Application - 20 Swallow Street,Carried,R21-077,
2021-04-06,DP,,676 Mountainview Square,"4. Development Permit Application, KitiMED, 676 Mountainview Square",Referred,R21-080,
2021-04-19,DVP,,121 Liard Street,1. Development Variance Permit Application - 121 Liard Street,Referred,R21-091,
2021-05-03,DP,,"578
Mountainview Square",The Mayor called for public input regarding the Development Permit application for 578,Carried,R21-097,
2021-05-03,DP,,"100
Loganberry Avenue",The Mayor called for public input regarding the Development Permit application for 100,Carried,R21-097,
2021-05-03,DP,,"676
Mountainview Square",The Mayor called for public input regarding the Development Permit application for 676,Carried,R21-097,
2021-05-03,DP,,578 Mountainview Square,"1. Development Permit Application, 578 Mountainview Square",Carried,R21-103,
2021-05-03,DP,,"578 Mountainview
           Square",evaluated the application against the development permit framework and guidelines,Carried,R21-103,
2021-05-03,DP,,100 Loganberry Avenue,"2. Development Permit Application, 100 Loganberry Avenue Kitimat Valley Housing",Carried,R21-104,
2021-05-17,DVP,,"121
Liard Street",The Mayor called for public input regarding the Development Variance Permit application for 121,Carried,R21-108,
2021-05-17,DVP,,18 Moore Street,1. Development Variance Permit Application – 18 Moore Street,Referred,R21-110,
2021-06-07,DVP,,"18
Moore Street",Mayor Germuth called for public input on the Development Variance Permit Application for 18,Carried,R21-116,
2021-06-07,TUP,,,Mayor Germuth called for public input on the Temporary Use Permit Application for a temporary,Carried,R21-116,
2022-02-07,DP,,50 Currie Street,1. Development Permit Application – 36 Highway 37,Referred,R22-048,
